iter	Passed	Remaining
0	143	143022
1	149	74611
2	156	52013
3	162	40371
4	168	33467
5	173	28809
6	179	25419
7	185	23061
8	191	21049
9	196	19485
10	202	18167
11	207	17111
12	214	16260
13	219	15489
14	225	14828
15	231	14214
16	236	13661
17	242	13215
18	247	12787
19	253	12442
20	259	12113
21	265	11796
22	271	11545
23	277	11274
24	282	11029
25	289	10848
26	294	10628
27	300	10446
28	306	10256
29	312	10098
30	318	9954
31	323	9794
32	333	9759
33	338	9619
34	344	9485
35	350	9384
36	356	9285
37	362	9183
38	369	9094
39	374	8987
40	379	8885
41	385	8788
42	391	8715
43	398	8647
44	404	8583
45	409	8502
46	416	8435
47	422	8379
48	429	8334
49	436	8293
50	443	8243
51	449	8195
52	455	8134
53	462	8102
54	468	8045
55	474	7998
56	481	7961
57	487	7924
58	494	7887
59	501	7858
60	508	7824
61	513	7775
62	521	7756
63	528	7726
64	535	7708
65	543	7686
66	550	7660
67	557	7639
68	563	7609
69	571	7589
70	578	7562
71	584	7538
72	592	7520
73	599	7503
74	606	7482
75	615	7478
76	622	7456
77	630	7448
78	636	7418
79	642	7384
80	649	7365
81	655	7333
82	660	7299
83	667	7275
84	673	7249
85	679	7226
86	686	7202
87	691	7165
88	698	7147
89	704	7124
90	710	7094
91	716	7072
92	722	7049
93	729	7030
94	735	7006
95	741	6978
96	747	6958
97	753	6933
98	759	6912
99	765	6892
100	770	6861
101	776	6833
102	781	6805
103	786	6777
104	792	6753
105	798	6732
106	804	6710
107	809	6684
108	815	6662
109	820	6642
110	826	6619
111	832	6598
112	837	6575
113	843	6554
114	848	6533
115	854	6510
116	860	6492
117	865	6469
118	871	6449
119	876	6425
120	882	6407
121	887	6383
122	892	6363
123	897	6342
124	902	6320
125	909	6306
126	914	6283
127	919	6264
128	924	6245
129	930	6229
130	936	6209
131	941	6193
132	947	6177
133	952	6158
134	959	6150
135	965	6134
136	972	6124
137	979	6116
138	986	6107
139	992	6097
140	999	6089
141	1006	6081
142	1013	6073
143	1021	6069
144	1028	6061
145	1034	6053
146	1041	6042
147	1048	6035
148	1054	6024
149	1060	6008
150	1066	5996
151	1072	5984
152	1078	5969
153	1085	5960
154	1090	5943
155	1096	5934
156	1103	5927
157	1110	5920
158	1118	5915
159	1126	5911
160	1134	5912
161	1142	5908
162	1149	5902
163	1157	5898
164	1164	5890
165	1170	5881
166	1177	5874
167	1185	5870
168	1192	5863
169	1199	5855
170	1205	5846
171	1212	5835
172	1218	5824
173	1224	5815
174	1230	5801
175	1237	5793
176	1243	5783
177	1249	5769
178	1255	5758
179	1261	5746
180	1268	5738
181	1275	5734
182	1282	5727
183	1289	5717
184	1295	5707
185	1302	5698
186	1308	5687
187	1314	5678
188	1321	5668
189	1328	5662
190	1333	5649
191	1339	5638
192	1346	5628
