iter	RMSE
0	90211.60205
1	86457.90942
2	82900.84801
3	79563.82355
4	76422.21316
5	73426.47644
6	70617.80547
7	67960.53857
8	65440.42501
9	63113.29663
10	60889.4832
11	58852.03209
12	56908.73281
13	55117.61805
14	53413.24802
15	51842.76698
16	50336.4796
17	48935.67762
18	47599.63069
19	46368.95447
20	45229.82663
21	44173.00089
22	43196.36301
23	42247.88109
24	41372.24587
25	40587.00216
26	39824.31886
27	39155.74225
28	38517.45521
29	37911.6283
30	37328.92357
31	36821.97469
32	36296.4729
33	35828.49516
34	35383.3498
35	34988.93999
36	34603.97005
37	34256.30134
38	33904.85941
39	33616.11077
40	33332.39831
41	33074.49532
42	32850.24764
43	32639.25421
44	32420.44293
45	32198.53811
46	32012.63093
47	31846.19959
48	31691.20842
49	31550.92902
50	31415.34128
51	31288.23274
52	31160.37853
53	31028.93307
54	30910.7428
55	30788.91034
56	30683.16865
57	30576.95872
58	30497.95209
59	30411.22304
60	30329.9368
61	30248.80102
62	30179.42694
63	30101.11563
64	30034.74048
65	29952.73665
66	29864.36491
67	29784.73794
68	29741.43011
69	29677.98268
70	29598.07552
71	29548.3399
72	29512.44399
73	29460.0136
74	29411.56315
75	29364.55419
76	29318.78468
77	29282.75029
78	29244.95754
79	29209.87459
80	29145.38864
81	29092.14815
82	29044.37199
83	28977.92731
84	28932.1669
85	28900.7364
86	28862.85419
87	28826.37123
88	28773.83417
89	28744.63885
90	28679.08355
91	28641.55091
92	28619.14492
93	28584.64495
94	28540.61155
95	28512.68789
96	28481.09034
97	28453.64869
98	28419.2974
99	28378.13613
100	28350.50136
101	28328.78095
102	28277.95504
103	28235.56503
104	28193.14351
105	28162.27549
106	28134.7202
107	28109.77326
108	28089.62995
109	28054.53992
110	28026.13673
111	27995.62367
112	27957.40526
113	27940.64868
114	27892.05416
115	27861.18154
116	27835.60789
117	27818.56575
118	27795.70163
119	27773.94679
120	27737.28952
121	27686.87593
122	27652.98123
