iter	Passed	Remaining
0	124	124099
1	137	68396
2	149	49613
3	160	40055
4	170	34002
5	180	29969
6	190	27008
7	200	24851
8	210	23184
9	220	21813
10	230	20746
11	240	19796
12	250	19011
13	260	18324
14	269	17694
15	278	17149
16	288	16699
17	299	16350
18	310	16028
19	323	15856
20	335	15625
21	346	15412
22	358	15229
23	370	15046
24	380	14842
25	390	14643
26	401	14456
27	411	14293
28	421	14125
29	432	13968
30	441	13815
31	452	13674
32	461	13530
33	471	13391
34	480	13261
35	490	13139
36	499	13012
37	509	12908
38	519	12801
39	529	12702
40	539	12617
41	548	12520
42	558	12428
43	567	12338
44	589	12503
45	599	12427
46	609	12363
47	619	12295
48	629	12218
49	639	12141
50	648	12070
51	658	11999
52	667	11933
53	677	11868
54	687	11818
55	698	11773
56	707	11712
57	717	11651
58	727	11608
59	737	11551
60	747	11511
61	758	11478
62	769	11449
63	780	11421
64	792	11396
65	803	11373
66	815	11349
67	826	11329
68	836	11292
69	847	11255
70	857	11214
71	866	11168
72	875	11122
73	885	11078
74	894	11035
75	904	10995
76	914	10958
77	923	10920
78	933	10878
79	942	10833
80	951	10799
81	961	10759
82	971	10731
83	983	10720
84	994	10709
85	1007	10707
86	1020	10708
87	1032	10696
88	1045	10702
89	1059	10708
90	1070	10698
91	1081	10671
92	1092	10654
93	1103	10632
94	1113	10605
95	1124	10584
96	1133	10556
97	1143	10529
98	1153	10500
99	1164	10478
100	1174	10455
101	1184	10427
102	1193	10396
103	1203	10364
104	1212	10335
105	1222	10312
106	1232	10287
107	1242	10262
108	1255	10260
109	1266	10244
110	1277	10230
111	1288	10213
112	1298	10191
113	1309	10174
114	1318	10147
115	1328	10121
116	1339	10110
117	1352	10106
118	1365	10111
119	1378	10112
120	1389	10093
121	1402	10090
122	1413	10079
