iter	RMSE
0	1690.574348
1	1614.580495
2	1542.009856
3	1475.233134
4	1410.644138
5	1350.010288
6	1293.152498
7	1237.631091
8	1185.064372
9	1135.693397
10	1088.825244
11	1044.142051
12	1002.529931
13	962.7217348
14	924.3104589
15	889.1832566
16	853.0609159
17	819.1591518
18	787.6829916
19	757.3405073
20	726.9038898
21	701.670221
22	676.8654467
23	652.0835726
24	628.7506069
25	607.7450702
26	586.4404251
27	567.4994771
28	550.3435985
29	532.6569094
30	516.2339578
31	500.7718791
32	485.0831708
33	470.4668789
34	457.6137842
35	444.1952262
36	432.0255489
37	421.5095213
38	410.3721055
39	399.3375305
40	389.0990313
41	380.3485129
42	371.1208267
43	362.2286329
44	353.3765256
45	344.8429116
46	338.0910062
47	330.9954168
48	323.4901908
49	316.4457969
50	310.4094567
51	304.1586972
52	298.923833
53	293.2322916
54	288.2563538
55	282.8397953
56	278.5680246
57	273.5022342
58	269.17322
59	265.9935283
60	262.8616825
61	259.5357498
62	255.6408103
63	251.7915595
64	249.2856137
65	246.8146435
66	244.1867235
67	241.2637157
68	238.5305908
69	235.842054
70	232.9606451
71	229.8228101
72	228.1992069
73	226.170697
74	223.1032363
75	221.0161555
76	219.3565734
77	217.0450546
78	215.3132901
79	213.1795107
80	211.6317862
81	210.2019077
82	208.9942797
83	207.2227761
84	206.0131382
85	204.4798094
86	203.1017817
87	201.7067027
88	200.2148526
89	199.0826309
90	197.9471914
91	196.8273487
92	195.8650388
93	194.245965
94	193.6909197
95	192.1513294
96	190.9945016
97	190.4254335
98	188.982191
99	187.7651047
100	186.5770882
101	185.5841266
102	184.1057135
103	182.4956418
104	181.900318
105	181.2819469
106	180.7844037
107	180.1418749
108	179.3674929
109	177.9749986
110	177.4229633
111	176.2745159
112	175.4170238
113	175.0810398
114	173.9771918
115	173.2092416
116	172.3224083
117	171.5035826
118	171.242097
119	170.4671783
120	169.4114703
121	168.6170881
122	167.8727404
123	166.502144
124	165.5753972
125	164.7299951
126	163.6839201
127	163.261751
128	162.5707844
129	161.7977797
130	160.71701
131	160.0594973
132	159.0303508
133	158.4171337
134	157.6619973
135	157.2125727
136	156.4975452
137	156.0829896
138	155.4166277
139	154.7328312
140	154.1583997
141	153.4212125
