iter	Passed	Remaining
0	145	145272
1	152	76211
2	159	52957
3	166	41403
4	173	34526
5	180	29976
6	188	26768
7	196	24373
8	203	22444
9	211	20910
10	218	19669
11	228	18814
12	235	17910
13	243	17117
14	250	16472
15	258	15896
16	266	15415
17	274	14982
18	282	14587
19	290	14239
20	298	13933
21	306	13615
22	315	13419
23	332	13515
24	341	13309
25	350	13112
26	358	12915
27	365	12683
28	373	12502
29	381	12334
30	388	12149
31	395	11972
32	402	11798
33	409	11637
34	416	11469
35	422	11320
36	429	11185
37	436	11046
38	443	10933
39	451	10832
40	458	10719
41	465	10625
42	472	10526
43	480	10441
44	487	10355
45	494	10254
46	500	10157
47	508	10084
48	515	10012
49	522	9926
50	530	9868
51	537	9797
52	545	9739
53	552	9686
54	561	9650
55	569	9604
56	577	9562
57	586	9519
58	594	9489
59	604	9467
60	611	9413
61	618	9363
62	625	9308
63	634	9284
64	643	9261
65	651	9213
66	658	9174
67	666	9136
68	674	9099
69	683	9074
70	691	9052
71	700	9023
72	707	8989
73	716	8963
74	724	8934
75	731	8893
76	738	8858
77	746	8820
78	753	8781
79	759	8737
80	766	8694
81	773	8657
82	779	8616
83	787	8583
84	794	8549
85	801	8517
86	808	8489
87	816	8463
88	823	8431
89	830	8401
90	838	8375
91	846	8350
92	853	8321
93	860	8297
94	867	8266
95	874	8235
96	882	8211
97	889	8187
98	897	8164
99	905	8148
100	913	8131
101	921	8113
102	928	8090
103	936	8070
104	944	8049
105	952	8029
106	960	8013
107	968	7998
108	976	7979
109	983	7959
110	991	7939
111	999	7924
112	1007	7909
113	1015	7891
114	1023	7876
115	1031	7861
116	1039	7844
117	1047	7832
118	1055	7814
119	1063	7796
120	1070	7779
121	1078	7762
122	1087	7752
123	1095	7739
124	1104	7729
125	1112	7716
126	1121	7710
127	1130	7698
128	1139	7693
129	1147	7681
130	1155	7665
131	1163	7653
132	1171	7639
133	1179	7624
134	1187	7609
135	1196	7599
136	1204	7590
137	1213	7578
138	1220	7561
139	1228	7546
140	1236	7534
141	1244	7521
